"Step","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate__MIN","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate__MAX","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate__MIN","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate__MAX","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate__MIN","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate__MAX"
"57","0.59375","0.59375","0.59375","0.859375","0.859375","0.859375","0.65625","0.65625","0.65625"
"58","0.609375","0.609375","0.609375","0.84375","0.84375","0.84375","0.75","0.75","0.75"
"59","0.640625","0.640625","0.640625","0.859375","0.859375","0.859375","0.71875","0.71875","0.71875"
"60","0.9375","0.9375","0.9375","0.921875","0.921875","0.921875","0.59375","0.59375","0.59375"
"61","0.796875","0.796875","0.796875","0.640625","0.640625","0.640625","0.78125","0.78125","0.78125"
"62","0.71875","0.71875","0.71875","0.75","0.75","0.75","0.5","0.5","0.5"
"63","0.859375","0.859375","0.859375","0.921875","0.921875","0.921875","0.6875","0.6875","0.6875"
"64","0.765625","0.765625","0.765625","0.953125","0.953125","0.953125","0.5625","0.5625","0.5625"
"65","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875","0.59375","0.59375","0.59375"
"66","0.765625","0.765625","0.765625","0.875","0.875","0.875","0.65625","0.65625","0.65625"
"67","0.921875","0.921875","0.921875","0.921875","0.921875","0.921875","0.5625","0.5625","0.5625"
"68","0.890625","0.890625","0.890625","0.921875","0.921875","0.921875","0.75","0.75","0.75"
"69","0.875","0.875","0.875","0.859375","0.859375","0.859375","0.84375","0.84375","0.84375"
"70","0.65625","0.65625","0.65625","1","1","1","0.53125","0.53125","0.53125"
"71","0.75","0.75","0.75","0.828125","0.828125","0.828125","0.75","0.75","0.75"
"72","0.859375","0.859375","0.859375","0.921875","0.921875","0.921875","0.71875","0.71875","0.71875"
"73","0.765625","0.765625","0.765625","0.921875","0.921875","0.921875","0.65625","0.65625","0.65625"
"74","0.765625","0.765625","0.765625","0.96875","0.96875","0.96875","0.5625","0.5625","0.5625"
"75","0.65625","0.65625","0.65625","0.734375","0.734375","0.734375","0.6875","0.6875","0.6875"
"76","0.71875","0.71875","0.71875","1","1","1","0.5625","0.5625","0.5625"
"77","0.828125","0.828125","0.828125","0.875","0.875","0.875","0.625","0.625","0.625"
"78","1","1","1","0.984375","0.984375","0.984375","0.78125","0.78125","0.78125"
"79","0.828125","0.828125","0.828125","0.734375","0.734375","0.734375","0.8125","0.8125","0.8125"
"80","0.90625","0.90625","0.90625","0.875","0.875","0.875","0.78125","0.78125","0.78125"
"81","0.984375","0.984375","0.984375","0.828125","0.828125","0.828125","0.59375","0.59375","0.59375"
"82","0.84375","0.84375","0.84375","0.78125","0.78125","0.78125","0.78125","0.78125","0.78125"
"83","0.90625","0.90625","0.90625","0.765625","0.765625","0.765625","0.71875","0.71875","0.71875"
"84","0.765625","0.765625","0.765625","0.703125","0.703125","0.703125","0.65625","0.65625","0.65625"
"85","0.828125","0.828125","0.828125","0.78125","0.78125","0.78125","0.6875","0.6875","0.6875"
"86","0.9375","0.9375","0.9375","0.921875","0.921875","0.921875","0.625","0.625","0.625"
"87","0.90625","0.90625","0.90625","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625"
"88","0.859375","0.859375","0.859375","0.859375","0.859375","0.859375","0.8125","0.8125","0.8125"
"89","0.90625","0.90625","0.90625","0.890625","0.890625","0.890625","0.90625","0.90625","0.90625"
"90","0.9375","0.9375","0.9375","0.59375","0.59375","0.59375","0.9375","0.9375","0.9375"
"91","0.828125","0.828125","0.828125","1","1","1","0.65625","0.65625","0.65625"
"92","0.828125","0.828125","0.828125","0.953125","0.953125","0.953125","0.9375","0.9375","0.9375"
"93","0.90625","0.90625","0.90625","1","1","1","0.9375","0.9375","0.9375"
"94","0.6875","0.6875","0.6875","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125"
"95","0.734375","0.734375","0.734375","0.765625","0.765625","0.765625","0.84375","0.84375","0.84375"
"96","0.796875","0.796875","0.796875","0.9375","0.9375","0.9375","0.875","0.875","0.875"
"97","0.703125","0.703125","0.703125","0.75","0.75","0.75","0.84375","0.84375","0.84375"
"98","0.84375","0.84375","0.84375","0.890625","0.890625","0.890625","0.875","0.875","0.875"
"99","0.796875","0.796875","0.796875","0.890625","0.890625","0.890625","0.84375","0.84375","0.84375"
"100","0.8125","0.8125","0.8125","0.875","0.875","0.875","0.96875","0.96875","0.96875"
"101","0.859375","0.859375","0.859375","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625"
"102","0.765625","0.765625","0.765625","0.75","0.75","0.75","0.875","0.875","0.875"
"103","0.8125","0.8125","0.8125","1","1","1","0.96875","0.96875","0.96875"
"104","0.84375","0.84375","0.84375","0.984375","0.984375","0.984375","0.6875","0.6875","0.6875"
"105","0.75","0.75","0.75","0.9375","0.9375","0.9375","0.8125","0.8125","0.8125"
"106","0.640625","0.640625","0.640625","1","1","1","0.90625","0.90625","0.90625"
"107","0.8125","0.8125","0.8125","1","1","1","0.75","0.75","0.75"
"108","0.984375","0.984375","0.984375","0.984375","0.984375","0.984375","0.75","0.75","0.75"
"109","0.78125","0.78125","0.78125","0.890625","0.890625","0.890625","0.78125","0.78125","0.78125"
"110","0.859375","0.859375","0.859375","0.90625","0.90625","0.90625","0.65625","0.65625","0.65625"
"111","0.828125","0.828125","0.828125","0.859375","0.859375","0.859375","0.84375","0.84375","0.84375"
"112","0.640625","0.640625","0.640625","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"113","0.78125","0.78125","0.78125","0.921875","0.921875","0.921875","0.84375","0.84375","0.84375"
