Step,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate__MIN,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate__MAX,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate__MIN,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate__MAX,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate__MIN,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate__MAX
58,0.328125,0.328125,0.328125,0.21875,0.21875,0.21875,0.78125,0.78125,0.78125
59,0.34375,0.34375,0.34375,0.375,0.375,0.375,0.6875,0.6875,0.6875
60,0.5,0.5,0.5,0.515625,0.515625,0.515625,0.71875,0.71875,0.71875
61,0.515625,0.515625,0.515625,0.5,0.5,0.5,0.78125,0.78125,0.78125
62,0.453125,0.453125,0.453125,0.515625,0.515625,0.515625,0.90625,0.90625,0.90625
63,0.515625,0.515625,0.515625,0.59375,0.59375,0.59375,0.796875,0.796875,0.796875
64,0.484375,0.484375,0.484375,0.546875,0.546875,0.546875,0.765625,0.765625,0.765625
65,0.359375,0.359375,0.359375,0.515625,0.515625,0.515625,0.734375,0.734375,0.734375
66,0.328125,0.328125,0.328125,0.5,0.5,0.5,0.671875,0.671875,0.671875
67,0.46875,0.46875,0.46875,0.484375,0.484375,0.484375,0.65625,0.65625,0.65625
68,0.4375,0.4375,0.4375,0.484375,0.484375,0.484375,0.703125,0.703125,0.703125
69,0.5,0.5,0.5,0.53125,0.53125,0.53125,0.828125,0.828125,0.828125
70,0.515625,0.515625,0.515625,0.546875,0.546875,0.546875,0.703125,0.703125,0.703125
