Step,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MIN,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MAX,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MIN,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MAX,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MIN,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MAX
58,0.765625,0.765625,0.765625,0.4375,0.4375,0.4375,0.828125,0.828125,0.828125
59,0.875,0.875,0.875,0.21875,0.21875,0.21875,0.75,0.75,0.75
60,0.875,0.875,0.875,0.390625,0.390625,0.390625,0.859375,0.859375,0.859375
61,0.5625,0.5625,0.5625,0.515625,0.515625,0.515625,0.671875,0.671875,0.671875
62,0.5625,0.5625,0.5625,0.546875,0.546875,0.546875,0.6875,0.6875,0.6875
63,0.6875,0.6875,0.6875,0.546875,0.546875,0.546875,0.921875,0.921875,0.921875
64,0.5625,0.5625,0.5625,0.53125,0.53125,0.53125,0.71875,0.71875,0.71875
65,0.71875,0.71875,0.71875,0.421875,0.421875,0.421875,0.96875,0.96875,0.96875
66,0.609375,0.609375,0.609375,0.484375,0.484375,0.484375,0.84375,0.84375,0.84375
67,0.828125,0.828125,0.828125,0.4375,0.4375,0.4375,0.96875,0.96875,0.96875
68,0.890625,0.890625,0.890625,0.5625,0.5625,0.5625,0.734375,0.734375,0.734375
69,0.640625,0.640625,0.640625,0.21875,0.21875,0.21875,0.9375,0.9375,0.9375
70,0.71875,0.71875,0.71875,0.3125,0.3125,0.3125,0.875,0.875,0.875
71,0.703125,0.703125,0.703125,0.46875,0.46875,0.46875,0.8125,0.8125,0.8125
72,0.78125,0.78125,0.78125,0.359375,0.359375,0.359375,0.90625,0.90625,0.90625
73,0.71875,0.71875,0.71875,0.421875,0.421875,0.421875,0.859375,0.859375,0.859375
74,0.78125,0.78125,0.78125,0.5625,0.5625,0.5625,0.953125,0.953125,0.953125
75,0.640625,0.640625,0.640625,0.3125,0.3125,0.3125,0.65625,0.65625,0.65625
76,0.9375,0.9375,0.9375,0.40625,0.40625,0.40625,0.875,0.875,0.875
77,0.84375,0.84375,0.84375,0.59375,0.59375,0.59375,1,1,1
78,0.796875,0.796875,0.796875,0.421875,0.421875,0.421875,0.796875,0.796875,0.796875
79,0.734375,0.734375,0.734375,0.578125,0.578125,0.578125,0.8125,0.8125,0.8125
80,0.890625,0.890625,0.890625,0.515625,0.515625,0.515625,0.828125,0.828125,0.828125
81,0.78125,0.78125,0.78125,0.3125,0.3125,0.3125,0.84375,0.84375,0.84375
82,0.765625,0.765625,0.765625,0.375,0.375,0.375,0.921875,0.921875,0.921875
83,0.890625,0.890625,0.890625,0.5,0.5,0.5,0.984375,0.984375,0.984375
84,0.703125,0.703125,0.703125,0.375,0.375,0.375,0.765625,0.765625,0.765625
85,0.8125,0.8125,0.8125,0.578125,0.578125,0.578125,0.859375,0.859375,0.859375
86,0.78125,0.78125,0.78125,0.65625,0.65625,0.65625,0.890625,0.890625,0.890625
87,0.671875,0.671875,0.671875,0.59375,0.59375,0.59375,0.8125,0.8125,0.8125
88,0.828125,0.828125,0.828125,0.609375,0.609375,0.609375,0.828125,0.828125,0.828125
89,0.6875,0.6875,0.6875,0.515625,0.515625,0.515625,0.640625,0.640625,0.640625
90,0.78125,0.78125,0.78125,0.765625,0.765625,0.765625,0.78125,0.78125,0.78125
91,0.875,0.875,0.875,0.640625,0.640625,0.640625,0.890625,0.890625,0.890625
92,0.8125,0.8125,0.8125,0.796875,0.796875,0.796875,0.921875,0.921875,0.921875
93,0.9375,0.9375,0.9375,0.90625,0.90625,0.90625,0.84375,0.84375,0.84375
94,0.5,0.5,0.5,0.578125,0.578125,0.578125,0.75,0.75,0.75
95,0.6875,0.6875,0.6875,0.609375,0.609375,0.609375,0.671875,0.671875,0.671875
96,0.703125,0.703125,0.703125,0.609375,0.609375,0.609375,0.9375,0.9375,0.9375
97,0.625,0.625,0.625,0.640625,0.640625,0.640625,0.75,0.75,0.75
98,0.796875,0.796875,0.796875,0.453125,0.453125,0.453125,0.921875,0.921875,0.921875
99,0.75,0.75,0.75,0.6875,0.6875,0.6875,0.875,0.875,0.875
100,0.6875,0.6875,0.6875,0.59375,0.59375,0.59375,0.671875,0.671875,0.671875
101,0.796875,0.796875,0.796875,0.65625,0.65625,0.65625,0.875,0.875,0.875
102,0.765625,0.765625,0.765625,0.59375,0.59375,0.59375,0.78125,0.78125,0.78125
103,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.828125,0.828125,0.828125
104,0.90625,0.90625,0.90625,0.578125,0.578125,0.578125,0.78125,0.78125,0.78125
105,0.84375,0.84375,0.84375,0.75,0.75,0.75,0.671875,0.671875,0.671875
