Step,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MIN,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MAX,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MIN,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MAX,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MIN,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MAX
58,0.390625,0.390625,0.390625,0.71875,0.71875,0.71875,0.5625,0.5625,0.5625
59,0.578125,0.578125,0.578125,0.703125,0.703125,0.703125,0.5625,0.5625,0.5625
60,0.453125,0.453125,0.453125,0.609375,0.609375,0.609375,0.53125,0.53125,0.53125
61,0.421875,0.421875,0.421875,0.734375,0.734375,0.734375,0.34375,0.34375,0.34375
62,0.59375,0.59375,0.59375,0.625,0.625,0.625,0.59375,0.59375,0.59375
63,0.546875,0.546875,0.546875,0.75,0.75,0.75,0.625,0.625,0.625
64,0.546875,0.546875,0.546875,0.71875,0.71875,0.71875,0.59375,0.59375,0.59375
65,0.59375,0.59375,0.59375,0.703125,0.703125,0.703125,0.53125,0.53125,0.53125
66,0.640625,0.640625,0.640625,0.828125,0.828125,0.828125,0.625,0.625,0.625
67,0.484375,0.484375,0.484375,0.71875,0.71875,0.71875,0.6875,0.6875,0.6875
68,0.5625,0.5625,0.5625,0.65625,0.65625,0.65625,0.53125,0.53125,0.53125
69,0.53125,0.53125,0.53125,0.84375,0.84375,0.84375,0.5,0.5,0.5
70,0.59375,0.59375,0.59375,0.703125,0.703125,0.703125,0.46875,0.46875,0.46875
71,0.484375,0.484375,0.484375,0.734375,0.734375,0.734375,0.46875,0.46875,0.46875
72,0.546875,0.546875,0.546875,0.703125,0.703125,0.703125,0.625,0.625,0.625
73,0.5625,0.5625,0.5625,0.734375,0.734375,0.734375,0.5625,0.5625,0.5625
74,0.65625,0.65625,0.65625,0.71875,0.71875,0.71875,0.6875,0.6875,0.6875
75,0.5,0.5,0.5,0.75,0.75,0.75,0.6875,0.6875,0.6875
76,0.484375,0.484375,0.484375,0.640625,0.640625,0.640625,0.65625,0.65625,0.65625
77,0.578125,0.578125,0.578125,0.703125,0.703125,0.703125,0.65625,0.65625,0.65625
78,0.471875,0.471875,0.471875,0.71875,0.71875,0.71875,0.59375,0.59375,0.59375
